Check failed for (fp32): x = -6.264336; diff = 3.814697e-06; -997/1000
Check failed for (fp32): x = 5.793097; diff = 1.192093e-07; 922/1000
Check failed for (fp32): x = 5.79938; diff = 1.192093e-07; 923/1000
Check failed for (fp32): x = 5.805664; diff = 1.192093e-07; 924/1000
Check failed for (fp32): x = 5.811947; diff = 1.192093e-07; 925/1000
Check failed for (fp32): x = 5.824513; diff = 2.384186e-07; 927/1000
Check failed for (fp32): x = 5.83708; diff = 2.384186e-07; 929/1000
Check failed for (fp32): x = 5.868495; diff = 2.384186e-07; 934/1000
Check failed for (fp32): x = 5.887345; diff = 2.384186e-07; 937/1000
Check failed for (fp32): x = 5.893628; diff = 2.384186e-07; 938/1000
Check failed for (fp32): x = 5.899911; diff = 2.384186e-07; 939/1000
Check failed for (fp32): x = 5.918761; diff = 2.384186e-07; 942/1000
Check failed for (fp32): x = 5.931327; diff = 2.384186e-07; 944/1000
Check failed for (fp32): x = 5.93761; diff = 2.384186e-07; 945/1000
Check failed for (fp32): x = 5.95646; diff = 2.384186e-07; 948/1000
Check failed for (fp32): x = 5.969026; diff = 2.384186e-07; 950/1000
Check failed for (fp32): x = 5.975309; diff = 2.384186e-07; 951/1000
Check failed for (fp32): x = 6.000442; diff = 2.384186e-07; 955/1000
Check failed for (fp32): x = 6.006725; diff = 2.384186e-07; 956/1000
Check failed for (fp32): x = 6.019292; diff = 2.384186e-07; 958/1000
Check failed for (fp32): x = 6.025575; diff = 2.384186e-07; 959/1000
Check failed for (fp32): x = 6.031858; diff = 2.384186e-07; 960/1000
Check failed for (fp32): x = 6.038141; diff = 2.384186e-07; 961/1000
Check failed for (fp32): x = 6.07584; diff = 4.768372e-07; 967/1000
Check failed for (fp32): x = 6.09469; diff = 4.768372e-07; 970/1000
Check failed for (fp32): x = 6.107256; diff = 4.768372e-07; 972/1000
Check failed for (fp32): x = 6.119823; diff = 4.768372e-07; 974/1000
Check failed for (fp32): x = 6.132389; diff = 9.536743e-07; 976/1000
Check failed for (fp32): x = 6.144955; diff = 4.768372e-07; 978/1000
Check failed for (fp32): x = 6.157522; diff = 4.768372e-07; 980/1000
Check failed for (fp32): x = 6.163805; diff = 9.536743e-07; 981/1000
Check failed for (fp32): x = 6.182655; diff = 9.536743e-07; 984/1000
Check failed for (fp32): x = 6.201504; diff = 9.536743e-07; 987/1000
Check failed for (fp32): x = 6.214071; diff = 9.536743e-07; 989/1000
Check failed for (fp32): x = 6.220354; diff = 9.536743e-07; 990/1000
Check failed for (fp32): x = 6.245486; diff = 1.907349e-06; 994/1000
Check failed for (fp32): x = 6.25177; diff = 3.814697e-06; 995/1000
Check failed for (fp32): x = 6.264336; diff = 3.814697e-06; 997/1000
Epsilon (fp32): 5.96046e-08
Failed: 808; OK: 1193
